"name","title","formation","description","period"
"Sara Bouffard","Psychoéducatrice","Maîtrise en psychoéducation","Le psychoéducateur dépiste, évalue et intervient sur les capacités et difficultés d'adaptation des personnes de tous âges. Son action se situe principalement dans leurs différents milieux de vie, en utilisant leurs forces et leur quotidien comme leviers d'intervention. Dans le cadre de son travail, il évalue différentes problématiques et propose des solutions propres aux besoins de chacun des individus à qui il vient en aide.","P2"
"Benoit Martel","Entrepreneur","Aucune formation spécifique requise","Je suis fondateur d'une entreprise en haute technologies spécialisé pour les grande entreprises, comptant maintenant plus de 40 employés avec des bureaux à Montréal, Toronto et Ottawa","P2"
"Nathalie Dinelle","Ergothérapeute (propriétaire associée d’une clinique d’ergothérapie pédiatrique privée)","Maîtrise ou DESS","En plus de la gestion administrative quotidienne de la clinique, j’interviens dans les écoles, dans les garderies et dans les domiciles auprès d’enfants ayant des défis dans leur quotidien. Sur le plan sensoriel, le plan moteur, le plan de l’autonomie, j’aide les enfants par le jeu à développer leur plein potentiel.","P2"
"Marc-André Trépanier","Comédien","École de théâtre professionnel","Le comédien oeuvre autant en voix, à la télé, au cinéma et au théâtre. Au travers des auditions et des contrats, le comédien est aussi appelé à être entrepreneur. Il peut mettre sur pied ses propres projets de création et les mener à terme. C’est une profession qui fait appel à la créativité, l’entrepreunariat, la polyvalence et la sensibilité.","P2"
"Kim Lefebvre","Vétérinaire","Doctorat","Je suis vétérinaire de famille (on dit aussi vétérinaire généraliste) dans une clinique pour animaux de compagnie, c'est-à-dire que je soigne les chats et les chiens. Je fais de la médecine et de la chirurgie générale.","P2"
"Jonathan Leclerc","Pompier pour la ville de Montréal","Diplôme d'études collégiales (DEC)","Avec une horaire en rotation de 24 heures, un pompier a comme mission principale d’éteindre les incendies. Cependant, depuis quelques années nos tâches se sont décuplés. Premier répondant médical d’urgence, sauveteur nautique, vertical, en espace clos, déversement de matière dangereuse, accident de véhicule, alarme incendie, problème électrique, et j’en passe.","P2"
"Jean-Francois Lavoie","Pilote commandant de bord","Diplôme d'études collégiales (DEC)","Pilote commandant de bord sur Airbus 330/321, instructeur et pilote vérificateur, je supervise les opérations aériennes et je fais aussi des vols internationaux. Je suis finissant du Cégep de Chicoutimi (CQFA). Je crois avoir une bonne expertise pour vous partager ma passion de l’Aviation et vous expliquer toutes les facettes de ce domaine fascinant qui offre un avenir prometteur.","P2"
"Simon Benoit","Architecte de données","Baccalauréat","Avec un bagage de programmeur-analyste, je me specialise dans l'aspect ""information"" de l'informatique. Je dois connaître tous les systèmes de l'entreprise, tisser des liens entre chacun de ceux-ci et ultimement croiser les données afin de leur faire livrer des informations pertinentes. On nomme cette science le BI (business intelligence).","P2"
"Stephanie Charbonneau","Chargée d'enseignement à l'Université McGill à l'École des sciences infirmières Ingram, infirmière clinicienne de formation","Maîtrise ou DESS","J'ai consacré les dix dernières années de ma vie au domaine des soins infirmiers et j'ai eu la chance de trouver ma passion pour le domaine de l'éducation au cours des sept dernières années, en enseignant aux futures/futurs infirmières/infirmiers. Je suis impliquée auprès de mes étudiants afin de les aider à relever les défis professionnels et émotionnels du domaine, dans le but ultime d'améliorer la vie des patients et des familles qui seront touchés par leurs soins.","P2"
"Nadine Laflamme","Hygiéniste dentaire","Diplôme d'études collégiales (DEC)","Les hygiénistes dentaires exercent leur profession au sein d’une équipe de travail dans des cliniques dentaires","P2"